a1	Max	Min
14.95100000	252.92073921	237.13432196
14.95100100	252.92072141	237.13433933
14.95100200	252.92070361	237.13435669
14.95100300	252.92068582	237.13437405
14.95100400	252.92066802	237.13439142
14.95100500	252.92065022	237.13440878
14.95100600	252.92063242	237.13442614
14.95100700	252.92061462	237.13444351
14.95100800	252.92059682	237.13446088
14.95100900	252.92057902	237.13447824
14.95101000	252.92056122	237.13449561
14.95101100	252.92054342	237.13451298
14.95101200	252.92052562	237.13453034
14.95101300	252.92050782	237.13454771
14.95101400	252.92049002	237.13456508
14.95101500	252.92047221	237.13458245
14.95101600	252.92045441	237.13459982
14.95101700	252.92043660	237.13461719
14.95101800	252.92041880	237.13463456
14.95101900	252.92040099	237.13465193
14.95102000	252.92038318	237.13466931
14.95102100	252.92036538	237.13468668
14.95102200	252.92034757	237.13470405
14.95102300	252.92032976	237.13472143
14.95102400	252.92031195	237.13473880
14.95102500	252.92029414	237.13475617
14.95102600	252.92027633	237.13477355
14.95102700	252.92025852	237.13479093
14.95102800	252.92024071	237.13480830
14.95102900	252.92022289	237.13482568
