a1	Max	Min
1.09410000	236.99905645	227.90585324
1.09411000	236.99619655	227.90852647
1.09412000	236.99331484	227.91122265
1.09413000	236.99041134	227.91394173
1.09414000	236.98748616	227.91668361
1.09415000	236.98453937	227.91944821
1.09416000	236.98157136	227.92223528
1.09417000	236.97858194	227.92504493
1.09418000	236.97557109	227.92787714
1.09419000	236.97253549	227.93073426
1.09420000	236.96947741	227.93361480
1.09421000	236.96639778	227.93651808
1.09422000	236.96329665	227.93944408
1.09423000	236.96017388	227.94239291
1.09424000	236.95702973	227.94536435
1.09425000	236.95386436	227.94835822
1.09426000	236.95157468	227.95089183
1.09427000	236.94941424	227.95307702
1.09428000	236.94723099	227.95528566
